Rank,data » name,Ticker,Coingecko ID,Key Person,USP,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
126,Sapphire,SAPP,sapphire,Albert,digital currency for games & other applications,EEP22TU02,Settlement and Access Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93 ,Reward,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
127,MATH,MATH,math,Magda,The multichain wallet for web 3.0,EEP22TU02,Settlement and Access Token, EIN05DA05,"Other Software, Data Storage and Processing",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
128,Orion Protocol,ORN,orion-protocol,Aavneet,"The Orion Protocol will aggregate the liquidity, order book depth, and price discovery from every centralized and decentralized digital asset market.",EEP22TU03,Settlement and Governance Token, EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,Y
129,inSure DeFi,SURE,insure,Natalie,Insure Your Crypto Portfolio,EEP22TU02,Settlement and Access Token,EIN06DF03,"Decentralized Derivatives, Synthetic Assets and Insurance",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,Y
130,Rakon,RKN,empty,Nick,"Raken network aims to provide a decentrelized alternative for satellites, navigation and communication systems with RKN powering their smart contracts.",EEP22TU03,Settlement and Governance Token,EIN05TC,Telecommunications and Communications,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
131,Ampleforth Governance Token,FORTH,ampleforth-governance-token,Aavneet,"Forth is a new governance token that completes the Ample ecosystem by putting control of the protocol in the hands of the community. Using the Forth token, holders will be able to vote on changes to the protocol.",EEP22TU03,Settlement and Governance Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
132,Linear,LINA,linear,Albert,DeFi protocol for synthetic asset with cross-chain capabilities,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93 ,Reward,EMS82IF,Inflationary,TCM72PS,Proof of Work,RTA72,New Asset Token,Y
133,Rocket Pool,RPL,rocket-pool,Aavneet,The protocol's liquid staking token. The rETH token represents an amount of ETH that is being staked and earning rewards within Ethereum Proof-of-Stake.,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,Y
134,Cream Finance,CREAM,cream-2,Natalie,,EEP22NT02,Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,Y
135,DFI.Money,YFII,yfii-finance,Nick,"Started as a hard fork of Yearn Finace, it enables the same fuinctionality with some other features and the avadibility to mine and farm the YFII token.",EEP22NT02,Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
136,CRYPTO20,C20,empty,Aavneet,The world's first tokenized crypto index fund.,EEP23FD,Fund Token,EIN06AM,Investment and Asset Management,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
137,Radix,EXRD,e-radix,Natalie,,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,N
138,dKargo,DKA,dkargo,Nick,DKA is the native token powering the dKargo network enabling logistic tracing,EEP22TU02,Settlement and Access Token,EIN04,"Manufacturing, Trade and Logistics",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
139,DODO,DODO,dodo,Albert,"decentralized exchange platform powered by the Proactive Market Maker (PMM) algorithm, with other functionalities",EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,Y
140,Metal DAO,MTL,metal,Aavneet,Metal is built on the Ethereum Blockchain and provides its users with the facility to convert their fiat currencies into cryptocurrencies and vice-versa.,EEP22TU01,Settlement Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
141,Travala,AVA,concierge-io,Nick,Travala is the first blockchain based travel booking platform ,EEP22TU03,Settlement and Governance Token,EIN08RT,"Recreation, Travel, Accomodation and Food Services",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,Y
142,QuarkChain,QKC,quark-chain,Albert,"multi-layer, permissionless blockchain for peer-to-peer transactions",EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71ZZ,Other Proof based,RTA72,New Asset Token,N
143,LUKSO,LYXE,lukso-token,Marlene,Blockchain for the New Creative Economy,EEP22TU01,Settlement Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
144,Gala,GALA,gala,Nick,,EEP22TU03,Settlement and Governance Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM73BF02,Proof of Work,RTA72,New Asset Token,Y
145,ZEON Network,ZEON,zeon,Nick,ZEON is a DeFi platform that offers crypto backed loans and interest on digital deposits,EEP22TU03,Settlement and Governance Token, EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS82DF,Deflationary,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
146,Tokenlon Network Token,LON,tokenlon,Albert,decentralized exchange and payment settlement protocol based on Ethereum blockchain technology,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93 ,Reward,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,N
147,Wrapped NXM,WNXM,wrapped-nxm,Jan,,EEP22TU03,Settlement and Governance Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
148,MyNeighborAlice,ALICE,my-neighbor-alice,Marlene,Farming-themed play-to-earn builder game,EEP22TU02,Settlement and Access Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72PS,Proof of Work,RTA72,New Asset Token,Y
149,Populous,PPT,populous,Nick,Populous is based on Ethereum and offers the securitization of not yet payed invoices,EEP22TU03,Settlement and Governance Token,EIN06ZZ,Other Finance and Insurance,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
150,Gitcoin,GTC,gitcoin,Marlene,Build & fund public goods,EEP22TU03,Settlement and Governance Token,EIN09,"Public Administration, Education, Healthcare and Social Assistance",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,Y
151,Bytom,BTM,bytom,Aavneet,Bytom is a cryptocurrency that describes itself as a protocol for asset management.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
152,Rally,RLY,rally-2,Nick,"Rally allows influencers, authors and other people to issue their own personal token for their community.",EEP22TU03,Settlement and Governance Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Airdrop,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
153,BarnBridge,BOND,barnbridge,Jan,A fluctuations derivatives protocol for hedging yield sensitivity and market price.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
154,Utrust,UTK,utrust,Marlene,Web3 L1 payments technology,EEP22TU01,Settlement Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,Y
155,Convex Curve,CVXCRV,convex-crv,Noah,Liquid Locked CRV,EEP23DV03,Other Derivative Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51ZZ,Other In-Scope Crypto Asset,,,,,,,,,
156,Toncoin,TON,the-open-network,Noah,Telegram Alt-L1 Token,EEP22TU01,Settlement Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
157,Lido DAO,LDO,lido-dao,Noah,Lido DAO Governance Token,EEP22NT02,Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
158,ApeCoin,APE,apecoin,Noah,ape dao token,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
159,ImmutableX,IMX,immutable-x,Noah,nft focused L2 native token,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
160,Pax Dollar,USDP,paxos-standard,Noah,usd stable coin,EEP21PP01USD,USD-Pegged Payment Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,EEP21,Non-Authorized Significant E-Money Token,,,,,,,,,
161,USDD,USDD,usdd,Noah,usd stable coin,EEP21PP01USD,USD-Pegged Payment Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,EEP21,Non-Authorized Significant E-Money Token,,,,,,,,,
162,Frax Share,FXS,frax-share,Noah,Frax DAO token,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
163,BitDAO,BIT,bitdao,Noah,governance of investment DAO,EEP22NT02,Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
164,cUSDc,CUSDC,compound-usd-coin,Noah,compounding loaned usdc,EEP23DV03,Other Derivative Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51ZZ,Other In-Scope Crypto Asset,,,,,,,,,
165,cDAI,CDAI,cdai,Noah,compounding loaned DAI,EEP23DV03,Other Derivative Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51ZZ,Other In-Scope Crypto Asset,,,,,,,,,
166,WhiteBIT Token,WBT,whitebit,Noah,CEX discount token,EEP22TU02,Settlement and Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
167,Bitget Token,BGB,bitget-token,Noah,CEX discount token,EEP22TU02,Settlement and Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
168,TKX,TKX,tokenize-xchange,Noah,CEX discount token,EEP22TU02,Settlement and Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
169,XAUT,XAUT,tether-gold,Noah,gold pegged token,EEP21PP02,Asset-Pegged Payment Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51ZZ,Other In-Scope Crypto Asset,,,,,,,,,
170,Convex Finance,CVX,convex-finance,Noah,Convex native platform token,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
171,cETH,CETH,compound-ether,Noah,compounding loaned eth,EEP23DV03,Other Derivative Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51ZZ,Other In-Scope Crypto Asset,,,,,,,,,
172,BTSE Token,BTSE,btse-token,Noah,CEX discount token,EEP22TU02,Settlement and Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,REU51UT,Utility Token,,,,,,,,,
173,FLOKI,FLOKI,floki,Noah,,EEP22TU02,Settlement and Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
174,Bone ShibaSwap,BONE,bone-shibaswap,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
175,Baby Doge Coin,BABYDOGE,baby-doge-coin,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
176,Ethereum Name Service,ENS,ethereum-name-service,Noah,ENS DAO Token,EEP22NT02,Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
177,Rocket Pool ETH,RETH,rocket-pool-eth,Noah,staked eth,EEP23DV03,Other Derivative Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
178,dYdX,DYDX,dydx,Noah,DEX native token,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
179,Magic,MAGIC,magic,Noah,gaming ecosystem native token,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
180,Olympus,OHM,olympus,Noah,speculative 'stable' coin,EEP21UP,Unpegged Payment Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
181,SSV Network,SSV,ssv-network,Noah,eth staking infrastructure provider,EEP22NT02,Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
182,DAO Maker,DAO,dao-maker,Noah,Launchpad access & governance token,EEP22NT02,Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
183,Gains Farm,GFARM2,gains-farm,Noah,goal to become DAO & fee distributing but bridget to Polygon as new token $GNS so not on ETH anymore,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
184,Astrafer,ASTRAFER,astrafer,Noah,web3 game utility token,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
185,Blur,BLUR,blur,Noah,pro-nft marketplace,EEP22NT02,Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
186,Mask Network,MASK,mask-network,Noah,web3 social infrastructure (twitter),EEP22NT02,Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
187,JasmyCoin,JASMY,jasmycoin,Noah,IoT Data infrastructure?,EEP22TU01,Settlement Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
188,Blox,CDT,blox,Noah,eth staking provider built on SSV,OLD SSV token https://ssv.network/blog/technology/cdt-ssv-upgrade/,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
189,Escoin,ELG,escoin-token,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
190,Euro Tether,EURT,tether-eurt,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
191,Artificial Liquid Intelligence,ALI,alethea-artificial-liquid-intelligence-token,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
192,Onyxcoin,XCN,chain-2,Noah,,EEP22TU01,Settlement Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
193,Synapse,SYN,synapse-2,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
194,STEPN,GMT,stepn,Noah,,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
195,Coinmetro,XCM,coinmetro,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
196,Biconomy,BICO,biconomy,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
197,Dogelon Mars,ELON,dogelon-mars,Noah,,EEP21UP,Unpegged Payment Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
198,Everscale,EVER,everscale,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
199,FLEX Coin,FLEX,flex-coin,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
200,Multichain,MULTI,multichain,Noah,,,,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
201,CyberVein,CVT,cybervein,Noah,big data solution - DEAD,EEP22TU02,Settlement and Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
202,DxChain Token,DX,dxchain,Noah,alt network,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
203,Kleros,PNK,kleros,Noah,decentralized dispute infrastructure,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
204,Syntropy,NOIA,noia-network,Noah,decentralized web infrastructure,EEP22TU01,Settlement Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
205,TrustSwap,SWAP,trustswap,Noah,b2b token services & launchpad,EEP22TU02,Settlement and Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
206,Keep3rV1,KP3R,keep3rv1,Noah,web3 job market,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
207,Streamr,DATA,streamr,,data transport layer,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
208,XYO,XYO,xyo-network,,oracle,EEP22TU01,Settlement Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
209,DigitalBits,XDB,digitalbits,,,EEP22TU01,Settlement Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
210,Request,REQ,request-network,,payment requests / invoicing,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
211,GensoKishi Metaverse,MV,gensokishis-metaverse,,open world web3 game,EEP22TU03,Settlement and Governance Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
212,Freeway Token,FWT,freeway,,withdrawals halted,EEP22NT01,Access Token,,,TTS42ET01,Ethereum ERC-20 Standard Token,,,,,,,,,,,,,,,
213,OriginTrail,TRAC,origintrail,,,,,,,,,,,,,,,,,,,,,,,
214,Pundi X,NPXS,pundi-x,,blockchain-based POS and P2P solution for retail,EEP22TU02,Settlement and Access Token,EIN06PS,Payment Services and Infrastructure,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM72PS,Proof of Work,RTA72,New Asset Token,N
215,The Midas Touch Gold,TMTG,the-midas-touch-gold,,,,,,,,,,,,,,,,,,,,,,,
216,Power Ledger,POWR,power-ledger,,,,,,,,,,,,,,,,,,,,,,,
217,ShareToken,SHR,sharering,,,,,,,,,,,,,,,,,,,,,,,
218,AdEx Network,ADX,adex,,,,,,,,,,,,,,,,,,,,,,,
219,LTO Network,LTO,lto-network,,,,,,,,,,,,,,,,,,,,,,,
220,DIA,DIA,dia-data,,,,,,,,,,,,,,,,,,,,,,,
221,xDai,STAKE,xdai-stake,,,,,,,,,,,,,,,,,,,,,,,
222,SOLVE,SOLVE,solve-care,,,,,,,,,,,,,,,,,,,,,,,
223,Tellor,TRB,tellor,,,,,,,,,,,,,,,,,,,,,,,
224,ExtStock Token,XT,xtcom-token,,,,,,,,,,,,,,,,,,,,,,,
225,MINDOL,MIN,mindol,,,,,,,,,,,,,,,,,,,,,,,
226,IZE,IZE,ize,,,,,,,,,,,,,,,,,,,,,,,
227,Homeros,HMR,homeros,,,,,,,,,,,,,,,,,,,,,,,
228,Chimpion,BNANA,banana-token,,,,,,,,,,,,,,,,,,,,,,,
229,Empty Set Dollar,ESD,empty-set-dollar,,,,,,,,,,,,,,,,,,,,,,,
230,Idea Chain Coin,ICH,ideachain,,,,,,,,,,,,,,,,,,,,,,,
231,Strong,STRONG,strong,,,,,,,,,,,,,,,,,,,,,,,
232,Tap,XTP,tap,,,,,,,,,,,,,,,,,,,,,,,
233,GNY,GNY,gny,,,,,,,,,,,,,,,,,,,,,,,
234,BTU Protocol,BTU,btu-protocol,,,,,,,,,,,,,,,,,,,,,,,
235,Poseidon Network,QQQ,qqq-token,,,,,,,,,,,,,,,,,,,,,,,
236,Hegic,HEGIC,hegic,,,,,,,,,,,,,,,,,,,,,,,
237,Attila,ATT,attila,,,,,,,,,,,,,,,,,,,,,,,
238,PARSIQ,PRQ,parsiq,,,,,,,,,,,,,,,,,,,,,,,
239,Polkastarter,POLS,polkastarter,,,,,,,,,,,,,,,,,,,,,,,
240,Bankera,BNK,bankera,,,,,,,,,,,,,,,,,,,,,,,
241,Harvest Finance,FARM,harvest-finance,,,,,,,,,,,,,,,,,,,,,,,
242,Darwinia Network,RING,darwinia-network-native-token,,,,,,,,,,,,,,,,,,,,,,,
243,cVault.finance,CORE,cvault-finance,,,,,,,,,,,,,,,,,,,,,,,
244,Sora,XOR,sora,,,,,,,,,,,,,,,,,,,,,,,
245,NEST Protocol,NEST,nest,,,,,,,,,,,,,,,,,,,,,,,
246,Badger DAO,BADGER,badger-dao,,,,,,,,,,,,,,,,,,,,,,,
247,Maro,MARO,ttc-protocol,,,,,,,,,,,,,,,,,,,,,,,
248,Hifi Finance,MFT,mainframe,,,,,,,,,,,,,,,,,,,,,,,
249,Carry,CRE,carry,,,,,,,,,,,,,,,,,,,,,,,
250,COTI,COTI,coti,,,,,,,,,,,,,,,,,,,,,,,
251,Loom Network,LOOM,loom-network,,,,,,,,,,,,,,,,,,,,,,,
252,Lambda,LAMB,lambda,,,,,,,,,,,,,,,,,,,,,,,
253,DREP,DREP,drep-new,,,,,,,,,,,,,,,,,,,,,,,
254,RedFOX Labs,RFOX,redfox-labs-2,,,,,,,,,,,,,,,,,,,,,,,
255,PAID Network,PAID,paid-network,,,,,,,,,,,,,,,,,,,,,,,
256,SuperFarm,SUPER,superfarm,,,,,,,,,,,,,,,,,,,,,,,
257,PIBBLE,PIB,pibble,,,,,,,,,,,,,,,,,,,,,,,
258,Atari Token,ATRI,atari,,,,,,,,,,,,,,,,,,,,,,,
259,Ethernity Chain,ERN,ethernity-chain,,,,,,,,,,,,,,,,,,,,,,,
260,AMO Coin,AMO,amo,,,,,,,,,,,,,,,,,,,,,,,
261,BioPassport Token,BIOT,biopassport,,,,,,,,,,,,,,,,,,,,,,,
262,DerivaDAO,DDX,derivadao,,,,,,,,,,,,,,,,,,,,,,,
263,12Ships,TSHP,12ships,,,,,,,,,,,,,,,,,,,,,,,
264,Refereum,RFR,refereum,,,,,,,,,,,,,,,,,,,,,,,
265,Thunder Token,TT,thunder-token,,,,,,,,,,,,,,,,,,,,,,,
266,Akropolis,AKRO,akropolis,,,,,,,,,,,,,,,,,,,,,,,
267,Endor Protocol,EDR,endor,,,,,,,,,,,,,,,,,,,,,,,
268,MovieBloc,MBL,moviebloc,,,,,,,,,,,,,,,,,,,,,,,
269,district0x,DNT,district0x,,,,,,,,,,,,,,,,,,,,,,,
